"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C6,C10,C12,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"100nF";;;
2;"C7,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7uF";;;
3;"C8,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"18pF";;;
4;"C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
5;"C13,C15";"CP_Elec_4x4.5";2;"10uF";;;
6;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_OTG";;;
7;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
8;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k";;;
9;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
10;"R3,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
11;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
12;"U2";"SOT-223";1;"LM1117ADJ";;;
13;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"8.0Mhz";;;
